Language	ISO 639-3 Code	Type
Central Huasteca Nahuatl	nch	Living
Central Huishui Hmong	hmc	Living
Central Kanuri	knc	Living
Central Khmer	khm	Living
Central Kurdish	ckb	Living
Central Maewo	mwo	Living
Central Malay	pse	Living
Central Masela	mxz	Living
Central Mashan Hmong	hmm	Living
Central Mazahua	maz	Living
Central Melanau	mel	Living
Central Mnong	cmo	Living
Central Nahuatl	nhn	Living
Central Nicobarese	ncb	Living
Central Ojibwa	ojc	Living
Central Okinawan	ryu	Living
Central Palawano	plc	Living
Central Pame	pbs	Living
Central Pashto	pst	Living
Central Pomo	poo	Living
Central Puebla Nahuatl	ncx	Living
Central Sama	sml	Living
Central Siberian Yupik	ess	Living
Central Sierra Miwok	csm	Living
Central Subanen	syb	Living
Central Tagbanwa	tgt	Living
Central Tarahumara	tar	Living
Central Tunebo	tuf	Living
Central Yupik	esu	Living
Central-Eastern Niger Fulfulde	fuq	Living
Centúúm	cet	Living
Cerma	cme	Living
Chabu	sbf	Living
Chachapoyas Quechua	quk	Living
Chachi	cbi	Living
Chácobo	cao	Living
Chadian Arabic	shu	Living
Chadian Sign Language	cds	Living
Chadong	cdy	Living
Chaima	ciy	Living
Chak	ckh	Living
Chakali	cli	Living
Chakma	ccp	Living
Chala	cll	Living
Chaldean Neo-Aramaic	cld	Living
Chalikha	tgf	Living
Chamacoco	ceg	Living
Chamalal	cji	Living
Chamari	cdg	Living
Chambeali	cdh	Living
Chambri	can	Living
Chamicuro	ccc	Living
Chamorro	cha	Living
Chang Naga	nbc	Living
Changriwa	cga	Living
Changthang	cna	Living
Chantyal	chx	Living
Chara	cra	Living
Chaudangsi	cdn	Living
Chaura	crv	Living
Chavacano	cbk	Living
Chayahuita	cbt	Living
Chayuco Mixtec	mih	Living
Chazumba Mixtec	xtb	Living
Che	ruk	Living
Chechen	che	Living
Cheke Holo	mrn	Living
Chenapian	cjn	Living
Chenchu	cde	Living
Chenoua	cnu	Living
Chepang	cdm	Living
Chepya	ycp	Living
Cherepon	cpn	Living
Cherokee	chr	Living
Chesu	ych	Living
Chetco	ctc	Living
Chewong	cwg	Living
Cheyenne	chy	Living
Chhattisgarhi	hne	Living
Chhintange	ctn	Living
Chhulung	cur	Living
Chiangmai Sign Language	csd	Living
Chiapanec	cip	Living
Chicahuaxtla Triqui	trs	Living
Chichicapan Zapotec	zpv	Living
Chichimeca-Jonaz	pei	Living
Chickasaw	cic	Living
Chiga	cgg	Living
Chigmecatitlán Mixtec	mii	Living
Chilcotin	clc	Living
Chilean Quechua	cqu	Living
Chilean Sign Language	csg	Living
Chilisso	clh	Living
Chiltepec Chinantec	csa	Living
Chimalapa Zoque	zoh	Living
Chimborazo Highland Quichua	qug	Living
Chimila	cbg	Living
China Buriat	bxu	Living
Chinali	cih	Living
Chinbon Chin	cnb	Living
Chincha Quechua	qxc	Living
Chinese	zho	Living
Chinese Pidgin English	cpi	Living
Chinese Sign Language	csl	Living
Chinook	chh	Living
Chinook jargon	chn	Living
Chipaya	cap	Living
Chipewyan	chp	Living
Chippewa	ciw	Living
Chiquián Ancash Quechua	qxa	Living
Chiquihuitlán Mazatec	maq	Living
Chiquitano	cax	Living
Chiripá	nhd	Living
Chiru	cdf	Living
Chitkuli Kinnauri	cik	Living
Chittagonian	ctg	Living
Chitwania Tharu	the	Living
Choapan Zapotec	zpc	Living
Chocangacakha	cgk	Living
Chochotec	coz	Living
Choctaw	cho	Living
Chodri	cdi	Living
Chokri Naga	nri	Living
Chokwe	cjk	Living
Chol	ctu	Living
Chong	cog	Living
Choni	cda	Living
Chonyi-Dzihana-Kauma	coh	Living
Chopi	cce	Living
Chortí	caa	Living
Chothe Naga	nct	Living
Chrau	crw	Living
Chru	cje	Living
Chuanqiandian Cluster Miao	cqd	Living
Chuave	cjv	Living
Chug	cvg	Living
Chuj	cac	Living
Chuka	cuh	Living
Chukot	ckt	Living
Chukwa	cuw	Living
Chulym	clw	Living
Chumburung	ncu	Living
Churahi	cdj	Living
Chut	scb	Living
Chuukese	chk	Living
Chuvash	chv	Living
Chuwabu	chw	Living
Ci Gbe	cib	Living
Cia-Cia	cia	Living
Cibak	ckl	Living
Cicipu	awc	Living
Cimbrian	cim	Living
Cinda-Regi-Tiyal	cdr	Living
Cineni	cie	Living
Cinta Larga	cin	Living
Cishingini	asg	Living
Citak	txt	Living
Ciwogai	tgd	Living
Clallam	clm	Living
C'lela	dri	Living
Coastal Kadazan	kzj	Living
Coastal Konjo	kjc	Living
Coatecas Altas Zapotec	zca	Living
Coatepec Nahuatl	naz	Living
Coatlán Mixe	mco	Living
Coatlán Zapotec	zps	Living
Coatzospan Mixtec	miz	Living
Cocama-Cocamilla	cod	Living
Cocopa	coc	Living
Cocos Islands Malay	coa	Living
Coeur d'Alene	crd	Living
Cofán	con	Living
Cogui	kog	Living
Col	liw	Living
Colombian Sign Language	csn	Living
Colonia Tovar German	gct	Living
Colorado	cof	Living
Columbia-Wenatchi	col	Living
Comaltepec Chinantec	cco	Living
Comanche	com	Living
Como Karim	cfg	Living
Comox	coo	Living
Con	cno	Living
Congo Swahili	swc	Living
Côông	cnc	Living
Coos	csz	Living
Copainalá Zoque	zoc	Living
Copala Triqui	trc	Living
Cori	cry	Living
Cornish	cor	Living
Corongo Ancash Quechua	qwa	Living
Corsican	cos	Living
Costa Rican Sign Language	csr	Living
Cotabato Manobo	mta	Living
Coyotepec Popoloca	pbf	Living
Coyutla Totonac	toc	Living
Cree	cre	Living
Creek	mus	Living
Crimean Tatar	crh	Living
Croatia Sign Language	csq	Living
Croatian	hrv	Living
Cross River Mbembe	mfn	Living
Crow	cro	Living
Cua	cua	Living
Cuba Sign Language	csf	Living
Cubeo	cub	Living
Cuiba	cui	Living
Culina	cul	Living
Cun	cuq	Living
Cung	cug	Living
Curripaco	kpc	Living
Cusco Quechua	quz	Living
Cutchi-Swahili	ccl	Living
Cuvok	cuv	Living
Cuyamecalco Mixtec	xtu	Living
Cuyonon	cyo	Living
Cwi Bwamu	bwy	Living
Cypriot Arabic	acy	Living
Czech	ces	Living
Czech Sign Language	cse	Living
Da'a Kaili	kzf	Living
Daai Chin	dao	Living
Daakaka	bpa	Living
Daantanai'	lni	Living
Daasanach	dsh	Living
Daba	dbq	Living
Dabarre	dbr	Living
Dabe	dbe	Living
Dadibi	mps	Living
Dadiya	dbd	Living
Daga	dgz	Living
Dagaari Dioula	dgd	Living
Dagba	dgk	Living
Dagbani	dag	Living
Dagik	dec	Living
Dahalik	dlk	Living
Dahalo	dal	Living
Daho-Doo	das	Living
Dai	dij	Living
Dai Zhuang	zhd	Living
Dair	drb	Living
Dakka	dkk	Living
Dakota	dak	Living
Dakpakha	dka	Living
Dalabon	ngk	Living
Daloa Bété	bev	Living
Dama	dmm	Living
Damakawa	dam	Living
Damal	uhn	Living
Dambi	dac	Living
Dameli	dml	Living
Dampelas	dms	Living
Dan	dnj	Living
Danaru	dnr	Living
Danau	dnu	Living
Dandami Maria	daq	Living
Dangaléat	daa	Living
Dangaura Tharu	thl	Living
Danish	dan	Living
Danish Sign Language	dsl	Living
Dano	aso	Living
Danu	dnv	Living
Dao	daz	Living
Daonda	dnd	Living
Dar Daju Daju	djc	Living
Dar Fur Daju	daj	Living
Dar Sila Daju	dau	Living
Darai	dry	Living
Dargwa	dar	Living
Dari	prs	Living
Darkinyung	xda	Living
Darlong	dln	Living
Darmiya	drd	Living
Daro-Matu Melanau	dro	Living
Dass	dot	Living
Datooga	tcc	Living
Daur	dta	Living
Davawenyo	daw	Living
Dâw	kwa	Living
Dawawa	dww	Living
Dawera-Daweloor	ddw	Living
Dawro	dwr	Living
Day	dai	Living
Dayi	dax	Living
Dazaga	dzg	Living
Deccan	dcc	Living
Dedua	ded	Living
Defaka	afn	Living
Defi Gbe	gbh	Living
Deg	mzw	Living
Degaru	dgu	Living
Degema	deg	Living
Degenan	dge	Living
Degexit'an	ing	Living
Dehu	dhv	Living
Dehwari	deh	Living
Dek	dek	Living
Dela-Oenale	row	Living
Delaware	del	Living
Delo	ntr	Living
Dem	dem	Living
Dema	dmx	Living
Demisa	dei	Living
Demta	dmy	Living
Dendi (Benin)	ddn	Living
Dendi (Central African Republic)	deq	Living
Dengese	dez	Living
Dengka	dnk	Living
Dení	dny	Living
Deno	dbb	Living
Denya	anv	Living
Deori	der	Living
Dera (Indonesia)	kbv	Living
Dera (Nigeria)	kna	Living
Desano	des	Living
Desiya	dso	Living
Dewoin	dee	Living
Dezfuli	def	Living
Dghwede	dgh	Living
Dhaiso	dhs	Living
Dhalandji	dhl	Living
Dhangu	dhg	Living
Dhanki	dhn	Living
Dhanwar (Nepal)	dhw	Living
Dhao	nfa	Living
Dhargari	dhr	Living
Dhatki	mki	Living
Dhimal	dhi	Living
Dhivehi	div	Living
Dhodia	dho	Living
Dhofari Arabic	adf	Living
Dhundari	dhd	Living
Dhungaloo	dhx	Living
Dhuwal	duj	Living
Dia	dia	Living
Dibabawon Manobo	mbd	Living
Dibiyaso	dby	Living
Dibo	dio	Living
Dibole	bvx	Living
Didinga	did	Living
Dido	ddo	Living
Digaro-Mishmi	mhu	Living
Digo	dig	Living
Dii	dur	Living
Dijim-Bwilim	cfa	Living
Dilling	dil	Living
Dima	jma	Living
Dimasa	dis	Living
Dimbong	dii	Living
Dime	dim	Living
Dimli (individual language)	diq	Living
Ding	diz	Living
Dinka	din	Living
Dirasha	gdl	Living
Diri	dwa	Living
Diriku	diu	Living
Dirim	dir	Living
Disa	dsi	Living
Ditammari	tbz	Living
Ditidaht	dtd	Living
Diuwe	diy	Living
Diuxi-Tilantongo Mixtec	xtd	Living
Dixon Reef	dix	Living
Dizin	mdx	Living
Djabwurrung	tjw	Living
Djambarrpuyngu	djr	Living
Djamindjung	djd	Living
Djauan	djn	Living
Djeebbana	djj	Living
Djimini Senoufo	dyi	Living
Djinang	dji	Living
Djinba	djb	Living
Djingili	jig	Living
Dobel	kvo	Living
Dobu	dob	Living
Doe	doe	Living
Doga	dgg	Living
Doghoro	dgx	Living
Dogosé	dos	Living
Dogoso	dgs	Living
Dogri (individual language)	dgo	Living
Dogri (macrolanguage)	doi	Living
Dogrib	dgr	Living
Dogul Dom Dogon	dbg	Living
Doka	dbi	Living
Doko-Uyanga	uya	Living
Dolgan	dlg	Living
Dolpo	dre	Living
Dom	doa	Living
Domaaki	dmk	Living
Domari	rmt	Living
Dombe	dov	Living
Dominican Sign Language	doq	Living
Dompo	doy	Living
Domu	dof	Living
Domung	dev	Living
Dondo	dok	Living
Dong	doh	Living
Dongo	doo	Living
Dongotono	ddd	Living
Dongshanba Lalo	yik	Living
Dongxiang	sce	Living
Donno So Dogon	dds	Living
Doondo	dde	Living
Dori'o	dor	Living
Doromu-Koki	kqc	Living
Dorze	doz	Living
Doso	dol	Living
Dotyali	dty	Living
Doutai	tds	Living
Doyayo	dow	Living
Drents	drt	Living
Drung	duu	Living
Du~ya	ldb	Living
Duala	dua	Living
Duano	dup	Living
Duau	dva	Living
Dubli	dub	Living
Dubu	dmu	Living
Dugun	ndu	Living
Duguri	dbm	Living
Dugwor	dme	Living
Duhwa	kbz	Living
Duke	nke	Living
Dulbu	dbo	Living
Duma	dma	Living
Dumbea	duf	Living
Dumi	dus	Living
Dumpas	dmv	Living
Dumun	dui	Living
Duna	duc	Living
Dungan	dng	Living
Dungmali	raa	Living
Dungra Bhil	duh	Living
Dungu	dbv	Living
Dupaninan Agta	duo	Living
Duri	mvp	Living
Duriankere	dbn	Living
Duruma	dug	Living
Duruwa	pci	Living
Dusner	dsn	Living
Dusun Deyah	dun	Living
Dusun Malang	duq	Living
Dusun Witu	duw	Living
Dutch	nld	Living
Dutch Sign Language	dse	Living
Duungooma	dux	Living
Duupa	dae	Living
Duvle	duv	Living
Duwai	dbp	Living
Duwet	gve	Living
Dwang	nnu	Living
Dyaabugay	dyy	Living
Dyan	dya	Living
Dyangadi	dyn	Living
Dyirbal	dbl	Living
Dyula	dyu	Living
Dza	jen	Living
Dzalakha	dzl	Living
Dzando	dzn	Living
Dzao Min	bpn	Living
Dzodinka	add	Living
Dzongkha	dzo	Living
Dzùùngoo	dnn	Living
E	eee	Living
East Ambae	omb	Living
East Berawan	zbe	Living
East Damar	dmr	Living
East Futuna	fud	Living
East Kewa	kjs	Living
East Limba	lma	Living
East Makian	mky	Living
East Masela	vme	Living
East Nyala	nle	Living
East Tarangan	tre	Living
East Yugur	yuy	Living
Eastern Acipa	acp	Living
Eastern Apurímac Quechua	qve	Living
Eastern Arrernte	aer	Living
Eastern Balochi	bgp	Living
Eastern Bolivian Guaraní	gui	Living
Eastern Bontok	ebk	Living
Eastern Bru	bru	Living
Eastern Canadian Inuktitut	ike	Living
Eastern Cham	cjm	Living
Eastern Durango Nahuatl	azd	Living
Eastern Egyptian Bedawi Arabic	avl	Living
Eastern Frisian	frs	Living
Eastern Gorkha Tamang	tge	Living
Eastern Gurung	ggn	Living
Eastern Highland Chatino	cly	Living
Eastern Highland Otomi	otm	Living
Eastern Hongshuihe Zhuang	zeh	Living
Eastern Huasteca Nahuatl	nhe	Living
Eastern Huishui Hmong	hme	Living
Eastern Karaboro	xrb	Living
Eastern Katu	ktv	Living
Eastern Kayah	eky	Living
Eastern Keres	kee	Living
Eastern Khumi Chin	cek	Living
Eastern Krahn	kqo	Living
Eastern Lalu	yit	Living
Eastern Lawa	lwl	Living
Eastern Magar	mgp	Living
Eastern Maninkakan	emk	Living
Eastern Mari	mhr	Living
Eastern Maroon Creole	djk	Living
Eastern Meohang	emg	Living
Eastern Mnong	mng	Living
Eastern Muria	emu	Living
Eastern Ngad'a	nea	Living
Eastern Nisu	nos	Living
Eastern Ojibwa	ojg	Living
Eastern Oromo	hae	Living
Eastern Parbate Kham	kif	Living
Eastern Penan	pez	Living
Eastern Qiandong Miao	hmq	Living
Eastern Subanen	sfe	Living
Eastern Tamang	taj	Living
Eastern Tawbuid	bnj	Living
Eastern Xiangxi Miao	muq	Living
Eastern Xwla Gbe	gbx	Living
Eastern Yiddish	ydd	Living
Ebira	igb	Living
Ebrié	ebr	Living
Ebughu	ebg	Living
Ecuadorian Sign Language	ecs	Living
Ede Cabe	cbj	Living
Ede Ica	ica	Living
Ede Idaca	idd	Living
Ede Ije	ijj	Living
Edera Awyu	awy	Living
Edolo	etr	Living
Edopi	dbf	Living
Efai	efa	Living
Efe	efe	Living
Efik	efi	Living
Efutop	ofu	Living
Ega	ega	Living
Eggon	ego	Living
Egypt Sign Language	esl	Living
Egyptian Arabic	arz	Living
Ehueun	ehu	Living
Eipomek	eip	Living
Eitiep	eit	Living
Ejagham	etu	Living
Ejamat	eja	Living
Ekajuk	eka	Living
Ekari	ekg	Living
Eki	eki	Living
Ekit	eke	Living
Ekpeye	ekp	Living
El Alto Zapotec	zpp	Living
El Hugeirat	elh	Living
El Molo	elo	Living
El Nayar Cora	crn	Living
Eleme	elm	Living
Elepi	ele	Living
Elip	ekm	Living
Elkei	elk	Living
Elotepec Zapotec	zte	Living
Eloyi	afo	Living
Elseng	mrf	Living
Elu	elu	Living
E'ma Buyang	yzg	Living
Emae	mmw	Living
Emai-Iuleha-Ora	ema	Living
Eman	emn	Living
Embaloh	emb	Living
Emberá-Baudó	bdc	Living
Emberá-Catío	cto	Living
Emberá-Chamí	cmi	Living
Emberá-Tadó	tdc	Living
Embu	ebu	Living
Emerillon	eme	Living
Emilian	egl	Living
Emplawas	emw	Living
Emumu	enr	Living
En	enc	Living
E'ñapa Woromaipu	pbh	Living
Enawené-Nawé	unk	Living
Ende	end	Living
Enga	enq	Living
Engdewu	ngr	Living
Engenni	enn	Living
Enggano	eno	Living
English	eng	Living
Enlhet	enl	Living
Enrekang	ptt	Living
Enu	enu	Living
Enwan (Akwa Ibom State)	enw	Living
Enwan (Edu State)	env	Living
Enxet	enx	Living
Enya	gey	Living
Epena	sja	Living
Epie	epi	Living
Eravallan	era	Living
Erave	kjy	Living
Ere	twp	Living
Eritai	ert	Living
Erokwanas	erw	Living
Erromintxela	emx	Living
Ersu	ers	Living
Eruwa	erh	Living
Erzya	myv	Living
Esan	ish	Living
Ese	mcq	Living
Ese Ejja	ese	Living
Eshtehardi	esh	Living
Esimbi	ags	Living
Eskayan	esy	Living
Estado de México Otomi	ots	Living
Estonian	est	Living
Estonian Sign Language	eso	Living
Etebi	etb	Living
Eten	etx	Living
Ethiopian Sign Language	eth	Living
Etkywan	ich	Living
Eton (Cameroon)	eto	Living
Eton (Vanuatu)	etn	Living
Etulo	utr	Living
Evant	bzz	Living
Even	eve	Living
Evenki	evn	Living
Eviya	gev	Living
Ewage-Notu	nou	Living
Ewe	ewe	Living
Ewondo	ewo	Living
Extremaduran	ext	Living
Ezaa	eza	Living
Fa D'ambu	fab	Living
Fagani	faf	Living
Faire Atta	azt	Living
Faita	faj	Living
Faiwol	fai	Living
Fala	fax	Living
Falam Chin	cfm	Living
Fali	fli	Living
Fam	fam	Living
Fanagalo	fng	Living
Fanamaket	bjp	Living
Fang (Cameroon)	fak	Living
Fang (Equatorial Guinea)	fan	Living
Fania	fni	Living
Fanti	fat	Living
Far Western Muria	fmu	Living
Farefare	gur	Living
Faroese	fao	Living
Fas	fqs	Living
Fasu	faa	Living
Fataleka	far	Living
Fataluku	ddg	Living
Fayu	fau	Living
Fe'fe'	fmp	Living
Fembe	agl	Living
Fernando Po Creole English	fpe	Living
Feroge	fer	Living
Fiji Hindi	hif	Living
Fijian	fij	Living
Filipino	fil	Living
Filomena Mata-Coahuitlán Totonac	tlp	Living
Finland-Swedish Sign Language	fss	Living
Finnish	fin	Living
Finnish Sign Language	fse	Living
Finongan	fag	Living
Fipa	fip	Living
Firan	fir	Living
Fiwaga	fiw	Living
Flaaitaal	fly	Living
Foau	flh	Living
Foi	foi	Living
Foia Foia	ffi	Living
Folopa	ppo	Living
Foma	fom	Living
Fon	fon	Living
Fongoro	fgr	Living
Foodo	fod	Living
Forak	frq	Living
Fordata	frd	Living
Fore	for	Living
Forest Enets	enf	Living
Fortsenal	frt	Living
Francisco León Zoque	zos	Living
French	fra	Living
French Sign Language	fsl	Living
Friulian	fur	Living
Fulah	ful	Living
Fuliiru	flr	Living
Fulniô	fun	Living
Fum	fum	Living
Fungwa	ula	Living
Fur	fvr	Living
Furu	fuu	Living
Futuna-Aniwa	fut	Living
Fuyug	fuy	Living
Fwâi	fwa	Living
Fwe	fwe	Living
Fyam	pym	Living
Fyer	fie	Living
Gǀui	gwj	Living
Gǁana	gnk	Living
Ga	gaa	Living
Gaa	ttb	Living
Gaam	tbi	Living
Ga'anda	gqa	Living
Gabi-Gabi	gbw	Living
Gabri	gab	Living
Gadang	gdk	Living
Ga'dang	gdg	Living
Gaddang	gad	Living
Gaddi	gbk	Living
Gade	ged	Living
Gade Lohar	gda	Living
Gadjerawang	gdh	Living
Gadsup	gaj	Living
Gagadu	gbu	Living
Gagauz	gag	Living
Gagnoa Bété	btg	Living
Gagu	ggu	Living
Gahri	bfu	Living
Gaikundi	gbf	Living
Gail	gic	Living
Gaina	gcn	Living
Gal	gap	Living
Galambu	glo	Living
Galela	gbi	Living
Galeya	gar	Living
Galibi Carib	car	Living
Galician	glg	Living
Gallurese Sardinian	sdn	Living
Galo	adl	Living
Galolen	gal	Living
Gamale Kham	kgj	Living
Gambian Wolof	wof	Living
Gamilaraay	kld	Living
Gamit	gbl	Living
Gamkonora	gak	Living
Gamo	gmv	Living
Gan Chinese	gan	Living
Gana	gnq	Living
Ganang	gne	Living
Ganda	lug	Living
Gane	gzn	Living
Ganglau	ggl	Living
Gangte	gnb	Living
Gants	gao	Living
Ganza	gza	Living
Ganzi	gnz	Living
Gao	gga	Living
Gapapaiwa	pwg	Living
Garhwali	gbm	Living
Garifuna	cab	Living
Garo	grt	Living
Garre	gex	Living
Garrwa	wrk	Living
Garus	gyb	Living
Gata'	gaq	Living
Gavak	dmc	Living
Gavar	gou	Living
Gavião Do Jiparaná	gvo	Living
Gawar-Bati	gwt	Living
Gawwada	gwd	Living
Gayil	gyl	Living
Gayo	gay	Living
Gazi	gzi	Living
Gbagyi	gbr	Living
Gbanu	gbv	Living
Gbanziri	gbg	Living
Gbari	gby	Living
Gbaya (Central African Republic)	gba	Living
Gbaya (Sudan)	krs	Living
Gbaya-Bossangoa	gbp	Living
Gbaya-Bozoum	gbq	Living
Gbaya-Mbodomo	gmm	Living
Gbayi	gyg	Living
Gbesi Gbe	gbs	Living
Gbii	ggb	Living
Gbiri-Niragu	grh	Living
Gboloo Grebo	gec	Living
Ge	hmj	Living
Geba Karen	kvq	Living
Gebe	gei	Living
Gedaged	gdd	Living
Gedeo	drs	Living
Geji	gji	Living
Geko Karen	ghk	Living
Gela	nlg	Living
Geme	geq	Living
Gen	gej	Living
Gende	gaf	Living
Gengle	geg	Living
Georgian	kat	Living
Gepo	ygp	Living
Gera	gew	Living
German	deu	Living
German Sign Language	gsg	Living
Geruma	gea	Living
Geser-Gorom	ges	Living
Ghadamès	gha	Living
Ghanaian Pidgin English	gpe	Living
Ghanaian Sign Language	gse	Living
Ghandruk Sign Language	gds	Living
Ghanongga	ghn	Living
Ghari	gri	Living
Ghayavi	bmk	Living
Gheg Albanian	aln	Living
Ghera	ghr	Living
Ghodoberi	gdo	Living
Ghomálá'	bbj	Living
Ghotuo	aaa	Living
Ghulfan	ghl	Living
Giangan	bgi	Living
Gibanawa	gib	Living
Gidar	gid	Living
Giiwo	kks	Living
Gikyode	acd	Living
Gilaki	glk	Living
Gilbertese	gil	Living
Gilima	gix	Living
Gilyak	niv	Living
Gimi (Eastern Highlands)	gim	Living
Gimi (West New Britain)	gip	Living
Gimme	kmp	Living
Gimnime	gmn	Living
Ginuman	gnm	Living
Ginyanga	ayg	Living
Girawa	bbr	Living
Giryama	nyf	Living
Githabul	gih	Living
Gitonga	toh	Living
Gitua	ggt	Living
Gitxsan	git	Living
Giyug	giy	Living
Gizrra	tof	Living
Glaro-Twabo	glr	Living
Glavda	glw	Living
Glio-Oubi	oub	Living
Gnau	gnu	Living
Goan Konkani	gom	Living
Goaria	gig	Living
Gobasi	goi	Living
Gobu	gox	Living
Godié	god	Living
Godwari	gdx	Living
Goemai	ank	Living
Gofa	gof	Living
Gogo	gog	Living
Gogodala	ggw	Living
Gokana	gkn	Living
Gola	gol	Living
Golin	gvf	Living
Gondi	gon	Living
Gone Dau	goo	Living
Gongduk	goe	Living
Gonja	gjn	Living
Gooniyandi	gni	Living
Gor	gqr	Living
Gorakor	goc	Living
Gorap	goq	Living
Gorontalo	gor	Living
Gorovu	grq	Living
Gorowa	gow	Living
Goundo	goy	Living
Gourmanchéma	gux	Living
Gowlan	goj	Living
Gowli	gok	Living
Gowro	gwf	Living
Gozarkhani	goz	Living
Grangali	nli	Living
Grass Koiari	kbk	Living
Grebo	grb	Living
Greek Sign Language	gss	Living
Green Gelao	giq	Living
Grenadian Creole English	gcl	Living
Gresi	grs	Living
Groma	gro	Living
Gronings	gos	Living
Gros Ventre	ats	Living
Gua	gwx	Living
Guadeloupean Creole French	gcf	Living
Guahibo	guh	Living
Guajá	gvj	Living
Guajajára	gub	Living
Guambiano	gum	Living
Guana (Paraguay)	gva	Living
Guanano	gvc	Living
Guanyinqiao	jiq	Living
Guarani	grn	Living
Guarayu	gyr	Living
Guarequena	gae	Living
Guatemalan Sign Language	gsm	Living
Guató	gta	Living
Guayabero	guo	Living
Gudanji	nji	Living
Gude	gde	Living
Gudu	gdu	Living
Guduf-Gava	gdf	Living
Guerrero Amuzgo	amu	Living
Guerrero Nahuatl	ngu	Living
Guevea De Humboldt Zapotec	zpg	Living
Gugubera	kkp	Living
Guguyimidjir	kky	Living
Guhu-Samane	ghs	Living
Guianese Creole French	gcr	Living
Guibei Zhuang	zgb	Living
Guiberoua Béte	bet	Living
Guibian Zhuang	zgn	Living
Güilá Zapotec	ztu	Living
Guinea Kpelle	gkp	Living
Guinean Sign Language	gus	Living
Guiqiong	gqi	Living
Gujarati	guj	Living
Gujari	gju	Living
Gula (Central African Republic)	kcm	Living
Gula (Chad)	glu	Living
Gula Iro	glj	Living
Gula'alaa	gmb	Living
Gulay	gvl	Living
Gulf Arabic	afb	Living
Gumalu	gmu	Living
Gumatj	gnn	Living
Gumawana	gvs	Living
Gumuz	guk	Living
Gun	guw	Living
Gundi	gdi	Living
Gungu	rub	Living
Guntai	gnt	Living
Gunwinggu	gup	Living
Gupa-Abawa	gpa	Living
Gupapuyngu	guf	Living
Guragone	gge	Living
Guramalum	grz	Living
Gurani	hac	Living
Gurdjar	gdj	Living
Gurgula	ggg	Living
Guriaso	grx	Living
Gurinji	gue	Living
Gurmana	gvm	Living
Guro	goa	Living
Guruntum-Mbaaru	grd	Living
Gusan	gsn	Living
Gusii	guz	Living
Gusilay	gsl	Living
Guya	gka	Living
Guyanese Creole English	gyn	Living
Gvoko	ngs	Living
Gwa	gwb	Living
Gwahatike	dah	Living
Gwak	jgk	Living
Gwamhi-Wuri	bga	Living
Gwandara	gwn	Living
Gweda	grw	Living
Gweno	gwe	Living
Gwere	gwr	Living
Gwich'in	gwi	Living
Gyele	gyi	Living
Gyem	gye	Living
Ha	haq	Living
Habu	hbu	Living
Hadiyya	hdy	Living
Hadothi	hoj	Living
Hadrami Arabic	ayh	Living
Hadza	hts	Living
Haeke	aek	Living
Hahon	hah	Living
Hai//om	hgm	Living
Haida	hai	Living
Haigwai	hgw	Living
Haiphong Sign Language	haf	Living
Haisla	has	Living
Haitian	hat	Living
Haitian Vodoun Culture Language	hvc	Living
Haji	hji	Living
Hajong	haj	Living
Haka Chin	cnh	Living
Hakka Chinese	hak	Living
Hakö	hao	Living
Halang	hal	Living
Halang Doan	hld	Living
Halbi	hlb	Living
Halh Mongolian	khk	Living
Halia	hla	Living
Halkomelem	hur	Living
Hamap	hmu	Living
Hamba	hba	Living
Hamer-Banna	amf	Living
Hamtai	hmt	Living
Han	haa	Living
Hanga	hag	Living
Hanga Hundi	wos	Living
Hangaza	han	Living
Hani	hni	Living
Hano	lml	Living
Hanoi Sign Language	hab	Living
Hanunoo	hnn	Living
Harari	har	Living
Harijan Kinnauri	kjo	Living
Haroi	hro	Living
Harsusi	hss	Living
Haruai	tmd	Living
Haruku	hrk	Living
Haryanvi	bgc	Living
Harzani	hrz	Living
Hasha	ybj	Living
Hassaniyya	mey	Living
Hatam	had	Living
Hausa	hau	Living
Hausa Sign Language	hsl	Living
Havasupai-Walapai-Yavapai	yuf	Living
Haveke	hvk	Living
Havu	hav	Living
Hawai'i Creole English	hwc	Living
Hawai'i Sign Language (HSL)	hps	Living
Hawaiian	haw	Living
Haya	hay	Living
Hazaragi	haz	Living
Hdi	xed	Living
Hebrew	heb	Living
Hehe	heh	Living
Heiban	hbn	Living
Heiltsuk	hei	Living
Helambu Sherpa	scp	Living
Helong	heg	Living
Hema	nix	Living
Hemba	hem	Living
Herdé	hed	Living
Herero	her	Living
Hértevin	hrt	Living
Hewa	ham	Living
Heyo	auk	Living
Hidatsa	hid	Living
Higaonon	mba	Living
Highland Konjo	kjk	Living
Highland Oaxaca Chontal	chd	Living
Highland Popoluca	poi	Living
Highland Puebla Nahuatl	azz	Living
Highland Totonac	tos	Living
Hijazi Arabic	acw	Living
Hijuk	hij	Living
Hiligaynon	hil	Living
Himarimã	hir	Living
Hindi	hin	Living
Hinduri	hii	Living
Hinukh	gin	Living
Hiri Motu	hmo	Living
Hitu	htu	Living
Hiw	hiw	Living
Hixkaryána	hix	Living
Hlai	lic	Living
Hlepho Phowa	yhl	Living
Hlersu	hle	Living
Hmar	hmr	Living
Hmong	hmn	Living
Hmong Daw	mww	Living
Hmong Dô	hmv	Living
Hmong Don	hmf	Living
Hmong Njua	hnj	Living
Hmong Shua	hmz	Living
Hmwaveke	mrk	Living
