Language	ISO 639-3 Code	Type
Antankarana Malagasy	xmv	Living
Antigua and Barbuda Creole English	aig	Living
Anuak	anu	Living
Anufo	cko	Living
Anu-Hkongso Chin	anl	Living
Anuki	aui	Living
Anus	auq	Living
Anuta	aud	Living
Anyin	any	Living
Anyin Morofo	mtb	Living
Ao Naga	njo	Living
Aoheng	pni	Living
A'ou	aou	Living
Ap Ma	kbx	Living
Apalaí	apy	Living
Apali	ena	Living
Apasco-Apoala Mixtec	mip	Living
Apatani	apt	Living
Apiaká	api	Living
Apinayé	apn	Living
Apma	app	Living
Aproumu Aizi	ahp	Living
A-Pucikwar	apq	Living
Apurinã	apu	Living
Aputai	apx	Living
Arabela	arl	Living
Arabic	ara	Living
Aragonese	arg	Living
Araki	akr	Living
Aralle-Tabulahan	atq	Living
Arammba	stk	Living
Aranadan	aaf	Living
Arandai	jbj	Living
Araona	aro	Living
Arapaho	arp	Living
Arawak	arw	Living
Araweté	awt	Living
Arawum	awm	Living
Arbëreshë Albanian	aae	Living
Arbore	arv	Living
Archi	aqc	Living
Are	mwc	Living
'Are'are	alu	Living
Arem	aem	Living
Arequipa-La Unión Quechua	qxu	Living
Argentine Sign Language	aed	Living
Argobba	agj	Living
Arguni	agf	Living
Arhâ	aqr	Living
Arhö	aok	Living
Arhuaco	arh	Living
Ari	aac	Living
Aribwaung	ylu	Living
Arifama-Miniafia	aai	Living
Arigidi	aqg	Living
Arikapú	ark	Living
Arikara	ari	Living
Aringa	luc	Living
Armenian	hye	Living
Armenian Sign Language	aen	Living
Arop-Lokep	apr	Living
Arop-Sissano	aps	Living
Arosi	aia	Living
Arpitan	frp	Living
Arta	atz	Living
Aruá (Rodonia State)	arx	Living
Aruamu	msy	Living
Aruek	aur	Living
Aruop	lsr	Living
Arutani	atx	Living
Arvanitika Albanian	aat	Living
As	asz	Living
Asaro'o	mtv	Living
Asas	asd	Living
Asháninka	cni	Living
Ashe	ahs	Living
Ashéninka Pajonal	cjo	Living
Ashéninka Perené	prq	Living
Ashkun	ask	Living
Asho Chin	csh	Living
Ashtiani	atn	Living
Asilulu	asl	Living
Askopan	eiv	Living
Asoa	asv	Living
Assamese	asm	Living
Assangori	sjg	Living
Assiniboine	asb	Living
Assyrian Neo-Aramaic	aii	Living
Asturian	ast	Living
Asu (Nigeria)	aum	Living
Asu (Tanzania)	asa	Living
Asue Awyu	psa	Living
Asumboa	aua	Living
Asunción Mixtepec Zapotec	zoo	Living
Asuri	asr	Living
Ata	atm	Living
Ata Manobo	atd	Living
Atatláhuca Mixtec	mib	Living
Atayal	tay	Living
Atemble	ate	Living
Athpariya	aph	Living
Ati	atk	Living
Atikamekw	atj	Living
Atohwaim	aqm	Living
Atong (Cameroon)	ato	Living
Atong (India)	aot	Living
Atorada	aox	Living
Atsam	cch	Living
Atsugewi	atw	Living
Attapady Kurumba	pkr	Living
Attié	ati	Living
Atzingo Matlatzinca	ocu	Living
Au	avt	Living
'Auhelawa	kud	Living
Aulua	aul	Living
Aushi	auh	Living
Austral	aut	Living
Australian Aborigines Sign Language	asw	Living
Australian Sign Language	asf	Living
Austrian Sign Language	asq	Living
Auwe	smf	Living
Auye	auu	Living
Avá-Canoeiro	avv	Living
Avaric	ava	Living
Avatime	avn	Living
Avau	avb	Living
Avikam	avi	Living
Avokaya	avu	Living
Awa (China)	vwa	Living
Awa (Papua New Guinea)	awb	Living
Awa-Cuaiquer	kwi	Living
Awad Bing	bcu	Living
Awadhi	awa	Living
Awak	awo	Living
Awar	aya	Living
Awara	awx	Living
Awbono	awh	Living
Aweer	bob	Living
Awera	awr	Living
Awetí	awe	Living
Awing	azo	Living
Awiyaana	auy	Living
Awjilah	auj	Living
Awngi	awn	Living
Awtuw	kmn	Living
Awu	yiu	Living
Awun	aww	Living
Awutu	afu	Living
Awyi	auw	Living
Axamb	ahb	Living
Axi Yi	yix	Living
Ayacucho Quechua	quy	Living
Ayautla Mazatec	vmy	Living
Ayere	aye	Living
Ayi (Papua New Guinea)	ayq	Living
Ayiwo	nfl	Living
Ayizi	yyz	Living
Ayizo Gbe	ayb	Living
Aymara	aym	Living
Ayoquesco Zapotec	zaf	Living
Ayoreo	ayo	Living
Ayu	ayu	Living
Ayutla Mixtec	miy	Living
Azerbaijani	aze	Living
Azha	aza	Living
Azhe	yiz	Living
Azoyú Me'phaa	tpc	Living
Baan	bvj	Living
Baangi	bqx	Living
Baatonum	bba	Living
Baba	bbw	Living
Baba Malay	mbf	Living
Babalia Creole Arabic	bbz	Living
Babango	bbm	Living
Babanki	bbk	Living
Babatana	baa	Living
